Country,ventas_totales
Sweden,36595.91
Germany,221698.2099999999
France,197403.9000000001
Belgium,40910.96000000001
Finland,22326.74
Italy,16890.510000000002
EIRE,263276.8200000003
Lithuania,1661.06
Norway,35163.45999999999
Spain,54774.57999999998
Denmark,18768.139999999992
Iceland,4310.0
Israel,7907.820000000003
Channel Islands,20086.290000000008
Cyprus,12946.289999999997
Switzerland,56385.349999999984
Japan,35340.62000000001
Poland,7213.139999999999
Portugal,29367.02
Australia,137077.26999999996
Austria,10154.32
Bahrain,548.4
United Kingdom,8187806.364000206
Netherlands,284661.54000000004
Singapore,9120.39
Greece,4710.52
Hong Kong,10117.039999999994
United Arab Emirates,1902.2800000000002
Lebanon,1693.8800000000003
Saudi Arabia,131.17
Canada,3666.38
Czech Republic,707.72
European Community,1291.75
Unspecified,4749.790000000001
USA,1730.9199999999996
Brazil,1143.6000000000001
Malta,2505.4700000000007
RSA,1002.3099999999998
